order_id,order_date,customer_id,customer_segment,country,product_id,category,sub_category,unit_price,quantity,discount,shipping_cost,payment_method,channel,returned,days_to_ship,order_status,revenue
O0000033,2024-04-17 05:03:00,C002132,Seasonal,CA,P001383,Automotive,Care,1143.04,1,0.2,33.29,Card,Paid Ads,N,0,Returned,914.43
O0000034,2023-12-25 07:41:00,C000563,Price-Sensitive,AU,P001013,Electronics,Phones,303.04,1,0,8.35,Card,Organic,N,7,Completed,303.04
O0000035,2024-01-13 05:38:00,C004975,At-Risk,AU,P001275,Fashion,Women,166.61,1,0,20.15,BNPL,Organic,N,3,Completed,166.61
O0000036,2024-12-08 20:15:00,C000835,Price-Sensitive,UK,P001423,Fashion,Men,801.45,2,0,17.71,Card,Paid Ads,N,1,Completed,1602.9
O0000037,2024-01-06 20:57:00,C003767,Price-Sensitive,DE,P002523,Home & Garden,Decor,1213.26,1,0.05,16.27,PayPal,Email,N,3,Completed,1152.6
O0000038,2023-03-30 08:56:00,C003693,Frequent,DE,P000118,Toys,Action Figures,743.99,1,0.05,7.42,PayPal,Organic,N,4,Completed,706.79
O0000039,2024-06-13 06:05:00,C001978,Price-Sensitive,DE,P002646,Sports,Cycling,1069.2,1,0,3.26,Card,Email,N,5,Completed,1069.2
O0000040,2024-06-27 11:27:00,C004509,Frequent,AU,P001256,Automotive,Care,380.85,1,0,11.04,PayPal,Paid Ads,N,3,Completed,380.85
O0000041,2024-05-10 08:46:00,C004830,At-Risk,FR,P000796,Books,Fiction,447.89,1,0,0.5,Card,Organic,N,4,Completed,447.89
O0000042,2023-05-10 20:55:00,C004022,High-Value,US,P001961,Books,Academic,663.5,1,0,8.84,PayPal,Organic,N,7,Completed,663.5
O0000043,2024-10-06 21:03:00,C001243,High-Value,FR,P001017,Books,Fiction,182.09,2,0.1,20.86,Card,Direct,N,7,Completed,327.76
O0000044,2024-08-25 13:19:00,C004659,Price-Sensitive,FR,P002563,Fashion,Women,320.48,2,0,8.4,Card,Organic,N,7,Completed,640.96
O0000045,2023-08-26 09:45:00,C002317,Price-Sensitive,DE,P001084,Fashion,Women,1182.8,2,0.15,28.14,Card,Organic,N,2,Cancelled,2010.76
O0000046,2023-05-26 02:03:00,C001360,Price-Sensitive,FR,P000510,Books,Academic,705.7,1,0.05,32.99,Card,Social,N,0,Completed,670.41
O0000047,2023-11-27 19:16:00,C000212,High-Value,AU,P002361,Electronics,Accessories,65.15,2,0.05,18.16,Card,Organic,N,6,Completed,123.79
O0000048,2024-05-18 02:30:00,C002851,Seasonal,UK,P001351,Fashion,Women,620.41,1,0.15,33.08,PayPal,Social,N,5,Completed,527.35
O0000049,2023-04-29 12:55:00,C004216,New,US,P000223,Automotive,Electronics,285.44,1,0.2,17.45,Card,Organic,N,2,Cancelled,228.35
O0000050,2024-03-24 22:31:00,C000995,High-Value,AU,P001273,Sports,Outdoor,828.5,1,0,7.86,PayPal,Organic,N,2,Completed,828.5
O0000051,2023-10-26 16:45:00,C002240,Seasonal,DE,P001871,Automotive,Tools,829.14,1,0.1,17.79,PayPal,Paid Ads,N,6,Completed,746.23
O0000052,2024-06-03 08:52:00,C000022,Frequent,UK,P001830,Automotive,Tools,810.18,1,0.1,26.7,Card,Paid Ads,N,3,Completed,729.16
O0000053,2023-08-28 13:02:00,C002607,Price-Sensitive,AU,P002719,Toys,Dolls,1189.63,2,0,17.34,Card,Social,N,1,Completed,2379.26
O0000054,2024-03-26 03:33:00,C003744,High-Value,CA,P000307,Toys,Puzzles,706.89,5,0,21.81,Card,Organic,N,6,Returned,3534.45
O0000055,2024-10-03 22:56:00,C003998,New,US,P002586,Fashion,Women,1028.18,1,0,26.14,Card,Organic,N,1,Completed,1028.18
O0000056,2024-12-11 09:57:00,C000238,High-Value,IN,P001469,Electronics,Accessories,565.39,1,0.1,14.42,Card,Organic,N,6,Completed,508.85
O0000057,2023-09-04 15:58:00,C004778,High-Value,DE,P001046,Books,Academic,1001.93,3,0.05,31.54,Card,Organic,N,5,Returned,2855.5
O0000058,2023-11-03 20:27:00,C005656,Frequent,IN,P001576,Books,Non-Fiction,1280.74,1,0.05,20.02,Card,Affiliate,N,6,Completed,1216.7
O0000059,2024-08-02 21:49:00,C000402,New,AU,P000943,Automotive,Care,912.56,1,0.15,6.65,Card,Direct,N,2,Completed,775.68
O0000060,2024-10-04 20:02:00,C002531,Price-Sensitive,US,P000370,Beauty,Makeup,1364.89,1,0.05,6.15,Card,Social,N,4,Completed,1296.65
O0000061,2023-09-21 15:51:00,C002418,Price-Sensitive,UK,P000309,Fashion,Accessories,215.43,5,0.2,23.67,Card,Organic,N,5,Completed,861.72
O0000062,2024-02-09 00:16:00,C004396,High-Value,UK,P002616,Books,Academic,1410.74,1,0,16.5,Card,Paid Ads,N,3,Completed,1410.74
O0000063,2024-10-12 14:58:00,C005744,Frequent,DE,P000186,Fashion,Women,1419.66,1,0.05,4.06,Card,Social,N,5,Completed,1348.68
O0000064,2024-12-14 17:26:00,C004812,Price-Sensitive,CA,P002005,Toys,STEM,925.4,4,0,1.15,Card,Social,N,5,Completed,3701.6
O0000065,2024-12-03 11:34:00,C005283,Frequent,DE,P000501,Books,Non-Fiction,1423.77,3,0,23.2,Card,Email,Y,5,Completed,4271.31
O0000066,2023-05-09 18:13:00,C000563,New,FR,P000955,Sports,Outdoor,496.2,1,0.1,0.1,PayPal,Organic,N,4,Completed,446.58
O0000067,2023-04-23 21:55:00,C000212,High-Value,UK,P000065,Sports,Team Sports,265.5,1,0.15,14.73,Card,Organic,N,5,Completed,225.67
O0000068,2023-04-22 14:32:00,C001815,At-Risk,US,P002636,Books,Academic,1446.22,1,0.05,29.66,Card,Organic,N,7,Completed,1373.91
O0000069,2023-03-24 10:38:00,C001216,High-Value,UK,P002447,Beauty,Fragrance,798.18,1,0.1,15.06,PayPal,Organic,N,3,Completed,718.36
O0000070,2023-08-22 13:21:00,C003716,Seasonal,AU,P001749,Fashion,Kids,472.22,1,0,24.04,Card,Organic,N,6,Completed,472.22
O0000071,2024-01-17 04:35:00,C000492,Price-Sensitive,FR,P001683,Beauty,Skincare,533.63,2,0.2,14.8,BNPL,Organic,N,4,Completed,853.81
O0000072,2024-08-14 16:13:00,C001268,Price-Sensitive,CA,P002279,Fashion,Kids,554.5,2,0.1,7.92,Card,Social,N,0,Completed,998.1
O0000073,2024-11-04 22:17:00,C000238,Frequent,AU,P001438,Books,Children,14.13,3,0.1,23.01,Card,Direct,N,1,Completed,38.15
O0000074,2023-08-09 12:26:00,C003717,Frequent,UK,P002325,Books,Children,896.35,3,0,5.51,Card,Email,N,6,Completed,2689.05
O0000075,2024-03-28 13:17:00,C001766,Price-Sensitive,US,P000455,Beauty,Fragrance,428.45,2,0.05,18.44,Card,Organic,N,0,Completed,814.05
O0000076,2023-11-05 06:49:00,C001125,Price-Sensitive,UK,P000032,Beauty,Skincare,748.59,1,0,13.31,PayPal,Social,N,5,Completed,748.59
O0000077,2023-02-13 13:01:00,C003767,At-Risk,IN,P002349,Beauty,Fragrance,609.61,2,0,4.03,Card,Organic,N,7,Completed,1219.22
O0000078,2024-01-06 02:27:00,C000868,Frequent,FR,P001622,Toys,STEM,1306.43,2,0,11.66,Card,Social,N,3,Cancelled,2612.86
O0000079,2023-12-24 11:46:00,C005288,New,CA,P001049,Fashion,Women,299.92,2,0.2,26.57,Card,Paid Ads,N,7,Completed,479.87
O0000080,2024-08-16 14:43:00,C004625,Price-Sensitive,FR,P000619,Beauty,Hair,662.45,1,0.15,10.6,Card,Organic,N,4,Completed,563.08
O0000081,2023-02-08 01:23:00,C002352,High-Value,IN,P001896,Fashion,Accessories,872.59,4,0.15,31.36,Card,Direct,N,5,Completed,2966.81
O0000082,2024-05-28 04:03:00,C003691,High-Value,IN,P002067,Beauty,Skincare,970.96,1,0.15,15.32,Card,Social,N,5,Cancelled,825.32
O0000083,2024-02-01 13:49:00,C002772,Price-Sensitive,US,P001351,Beauty,Skincare,146.29,2,0,8.82,PayPal,Affiliate,N,2,Completed,292.58
O0000084,2024-08-19 21:09:00,C002866,Frequent,AU,P002438,Toys,Puzzles,1064.71,1,0.1,13.18,PayPal,Direct,N,1,Completed,958.24
O0000085,2024-03-09 16:23:00,C000150,Frequent,CA,P001992,Sports,Team Sports,292.05,5,0,2.7,PayPal,Organic,N,0,Completed,1460.25
O0000086,2024-09-24 04:38:00,C003087,Frequent,CA,P000179,Home & Garden,Garden,619.23,2,0,33.94,Card,Direct,N,3,Completed,1238.46
O0000087,2023-11-13 15:57:00,C001590,Frequent,FR,P001155,Automotive,Electronics,1168.3,1,0.05,33.82,PayPal,Direct,N,4,Completed,1109.88
O0000088,2024-05-07 11:35:00,C000841,Price-Sensitive,FR,P000344,Fashion,Kids,1145.86,1,0.1,5.16,Card,Paid Ads,N,7,Completed,1031.27
O0000089,2023-01-28 13:03:00,C003248,Seasonal,CA,P001536,Toys,STEM,340.69,1,0,29.37,Card,Direct,N,4,Cancelled,340.69
O0000090,2024-04-28 22:53:00,C001137,Price-Sensitive,DE,P000325,Automotive,Accessories,33.41,1,0,19.21,PayPal,Social,N,4,Completed,33.41
O0000091,2023-05-05 01:15:00,C003440,Price-Sensitive,FR,P000455,Automotive,Accessories,1255.85,1,0.1,0.58,Card,Organic,N,6,Completed,1130.26
O0000092,2023-12-28 07:36:00,C003413,Frequent,AU,P000278,Fashion,Kids,1430.34,1,0.2,34.59,Card,Organic,N,6,Returned,1144.27
O0000093,2023-09-17 23:01:00,C002926,Price-Sensitive,UK,P002384,Sports,Fitness,1104.1,1,0,12.33,Card,Email,N,7,Returned,1104.1
O0000094,2024-05-05 20:11:00,C001105,High-Value,IN,P001202,Automotive,Accessories,306.38,2,0,11.05,Card,Organic,N,7,Completed,612.76
O0000095,2024-10-24 06:18:00,C002925,New,US,P000510,Beauty,Hair,1200.02,1,0.05,26.02,BNPL,Organic,N,7,Completed,1140.02
O0000096,2024-01-12 16:17:00,C000677,Price-Sensitive,US,P002235,Toys,Puzzles,444.18,1,0,23.13,Card,Email,N,7,Completed,444.18
O0000097,2023-02-13 23:55:00,C002889,Price-Sensitive,DE,P000308,Books,Fiction,1008.42,1,0.1,28.04,Card,Paid Ads,N,7,Completed,907.58
O0000098,2023-03-10 07:49:00,C005286,Frequent,DE,P002782,Electronics,Laptops,677.63,1,0.05,26.71,Card,Social,N,4,Completed,643.75
O0000099,2023-04-27 00:47:00,C001525,Seasonal,DE,P001067,Fashion,Kids,1057.54,1,0.1,10.0,BNPL,Social,N,1,Completed,951.79
O0000100,2024-12-31 14:05:00,C005587,At-Risk,UK,P002253,Beauty,Skincare,815.55,3,0.2,5.51,PayPal,Direct,N,5,Completed,1957.32
O0000101,2023-05-05 06:50:00,C001138,Frequent,DE,P002270,Electronics,Accessories,860.55,1,0.1,4.54,BNPL,Organic,N,7,Completed,774.5
O0000102,2024-02-24 18:04:00,C001027,At-Risk,AU,P001909,Fashion,Accessories,1021.76,1,0.2,27.31,Card,Organic,N,6,Completed,817.41
O0000103,2023-02-26 03:33:00,C001254,Frequent,CA,P001418,Beauty,Makeup,1421.49,1,0,29.61,Card,Email,N,2,Completed,1421.49
O0000104,2024-09-21 17:05:00,C004118,Price-Sensitive,FR,P002699,Home & Garden,Furniture,938.6,4,0,29.49,Card,Paid Ads,Y,0,Cancelled,3754.4
O0000105,2024-08-13 08:41:00,C001727,Price-Sensitive,DE,P002569,Electronics,Audio,820.64,2,0,16.9,PayPal,Email,N,1,Completed,1641.28
O0000106,2023-06-11 14:26:00,C003967,Seasonal,UK,P002943,Home & Garden,Decor,482.38,5,0,34.14,Card,Organic,N,5,Completed,2411.9
O0000107,2023-05-06 08:28:00,C002031,High-Value,US,P002521,Books,Academic,630.11,5,0,28.47,BNPL,Direct,N,2,Completed,3150.55
O0000108,2024-06-11 14:31:00,C002528,Seasonal,US,P000987,Toys,Dolls,326.64,1,0,9.85,Card,Paid Ads,N,4,Completed,326.64
O0000109,2023-04-21 13:08:00,C002167,Price-Sensitive,IN,P000186,Toys,Action Figures,603.87,1,0,12.69,Card,Organic,N,4,Completed,603.87
O0000110,2024-09-30 21:39:00,C000974,High-Value,US,P001389,Toys,Action Figures,838.96,1,0,6.97,Card,Social,Y,2,Completed,838.96
O0000111,2024-04-30 16:29:00,C001221,Price-Sensitive,FR,P002512,Home & Garden,Decor,481.2,1,0.1,25.88,Card,Organic,N,7,Completed,433.08
O0000112,2023-11-03 15:52:00,C000137,Frequent,AU,P002391,Fashion,Accessories,464.98,3,0.2,24.08,Card,Social,N,3,Completed,1115.95
O0000113,2024-08-20 15:10:00,C004295,Price-Sensitive,FR,P002789,Toys,Puzzles,367.08,1,0.15,3.85,Card,Organic,N,3,Completed,312.02
O0000114,2024-09-18 15:55:00,C005959,High-Value,CA,P002713,Sports,Team Sports,720.16,1,0,16.09,Card,Social,N,4,Completed,720.16
O0000115,2023-07-16 07:17:00,C004572,Frequent,UK,P002828,Books,Non-Fiction,1058.96,1,0,19.62,BNPL,Direct,N,6,Completed,1058.96
O0000116,2024-02-09 11:49:00,C001200,Frequent,UK,P001812,Fashion,Kids,985.68,2,0,7.07,Card,Paid Ads,N,2,Completed,1971.36
O0000117,2024-08-23 07:15:00,C000416,Price-Sensitive,FR,P000216,Sports,Outdoor,154.8,1,0.05,3.52,PayPal,Organic,N,2,Completed,147.06
O0000118,2024-05-02 15:41:00,C001634,Price-Sensitive,UK,P002646,Beauty,Hair,93.45,2,0.15,20.09,Card,Direct,N,2,Completed,158.87
O0000119,2023-06-30 01:53:00,C003253,Price-Sensitive,CA,P000038,Books,Fiction,451.1,2,0,9.96,Wire,Social,N,2,Completed,902.2
O0000120,2024-04-24 08:12:00,C000923,Frequent,AU,P002944,Automotive,Care,283.37,2,0.2,10.33,Card,Organic,N,6,Completed,453.39
O0000121,2024-06-11 10:05:00,C003284,Price-Sensitive,CA,P001326,Home & Garden,Garden,1404.06,1,0.05,8.24,PayPal,Paid Ads,N,0,Completed,1333.86
O0000122,2024-01-04 22:15:00,C000509,Price-Sensitive,DE,P001661,Books,Non-Fiction,1030.68,4,0.15,26.94,Card,Email,N,5,Completed,3504.31
O0000123,2023-08-13 04:30:00,C001255,Seasonal,FR,P002876,Beauty,Fragrance,826.11,1,0.1,28.07,PayPal,Direct,N,1,Completed,743.5
O0000124,2024-06-24 22:23:00,C000640,New,US,P002346,Electronics,Laptops,807.31,1,0.2,18.21,Card,Organic,N,1,Completed,645.85
O0000125,2024-04-01 01:29:00,C001081,Seasonal,DE,P002756,Electronics,Audio,1211.34,2,0.05,8.91,Card,Organic,N,6,Completed,2301.55
O0000126,2023-03-07 17:03:00,C000566,At-Risk,DE,P001675,Electronics,Accessories,274.07,1,0.15,34.24,Card,Social,N,6,Completed,232.96
O0000127,2024-01-22 12:05:00,C005593,At-Risk,IN,P000486,Home & Garden,Decor,271.82,1,0.1,4.46,Wire,Paid Ads,N,4,Completed,244.64
O0000128,2024-07-11 13:34:00,C003108,New,CA,P000636,Automotive,Care,417.1,4,0.15,26.79,Card,Email,N,0,Completed,1418.14
O0000129,2023-03-10 03:38:00,C000276,Seasonal,AU,P000182,Electronics,Laptops,606.39,1,0,26.4,PayPal,Organic,N,3,Completed,606.39
O0000130,2024-08-12 10:36:00,C004899,Price-Sensitive,IN,P001237,Beauty,Makeup,1315.01,5,0.1,7.74,Card,Organic,N,2,Completed,5917.55
O0000131,2024-03-13 17:31:00,C000385,At-Risk,AU,P002853,Toys,Action Figures,627.41,1,0.05,6.44,Card,Organic,N,2,Completed,596.04
O0000132,2023-03-01 17:26:00,C003413,Price-Sensitive,CA,P001045,Toys,Puzzles,308.99,2,0.05,29.65,Card,Direct,N,4,Completed,587.08
O0000133,2024-09-11 19:02:00,C000597,Frequent,IN,P000856,Sports,Cycling,1304.86,1,0,7.41,Card,Direct,N,7,Cancelled,1304.86
O0000134,2024-12-13 19:45:00,C001676,Seasonal,CA,P001560,Beauty,Hair,702.04,2,0,9.15,Card,Social,N,7,Completed,1404.08
O0000135,2023-11-24 06:23:00,C002564,Seasonal,FR,P000067,Sports,Outdoor,394.86,4,0.1,25.2,Card,Organic,N,3,Completed,1421.5
O0000136,2024-11-01 21:21:00,C002109,Price-Sensitive,DE,P000690,Automotive,Electronics,1100.49,1,0,25.21,Card,Paid Ads,N,0,Completed,1100.49
O0000137,2023-03-18 21:03:00,C000053,Seasonal,IN,P002897,Sports,Fitness,230.79,1,0.05,13.06,Card,Email,N,7,Completed,219.25
O0000138,2023-01-17 00:34:00,C004520,Seasonal,US,P000071,Books,Children,755.81,2,0.05,28.22,BNPL,Organic,N,2,Completed,1436.04
O0000139,2024-09-26 16:16:00,C002904,Frequent,DE,P001664,Fashion,Kids,691.2,1,0.15,7.91,Card,Paid Ads,N,0,Completed,587.52
O0000140,2024-01-24 12:35:00,C003900,High-Value,US,P002048,Home & Garden,Kitchen,1268.77,2,0,19.8,PayPal,Organic,N,0,Completed,2537.54
O0000141,2024-12-09 18:30:00,C002221,High-Value,US,P000735,Books,Fiction,1393.51,1,0,20.55,PayPal,Direct,N,1,Completed,1393.51
O0000142,2024-07-31 07:36:00,C003188,Price-Sensitive,FR,P000574,Beauty,Fragrance,1186.79,2,0,17.53,Wire,Organic,N,1,Completed,2373.58
O0000143,2024-09-20 19:25:00,C002674,High-Value,UK,P000935,Automotive,Electronics,536.94,4,0.05,6.5,Card,Organic,N,4,Completed,2040.37
O0000144,2024-12-31 02:05:00,C002196,Frequent,AU,P001298,Home & Garden,Garden,544.25,1,0,15.57,PayPal,Organic,N,6,Completed,544.25
O0000145,2024-07-22 16:26:00,C000847,High-Value,UK,P001578,Fashion,Kids,23.45,1,0.2,2.96,BNPL,Paid Ads,N,2,Completed,18.76
O0000146,2023-06-23 04:17:00,C002467,Frequent,CA,P001781,Fashion,Women,417.56,1,0.2,2.69,Card,Organic,N,3,Completed,334.05
O0000147,2023-05-19 09:00:00,C003242,Frequent,FR,P001804,Toys,Action Figures,505.43,3,0.2,22.79,Card,Organic,N,3,Completed,1213.03
O0000148,2023-07-01 12:20:00,C002388,Price-Sensitive,AU,P001335,Automotive,Tools,567.2,3,0.05,12.78,BNPL,Organic,N,2,Completed,1616.52
O0000149,2024-07-17 00:46:00,C003782,At-Risk,CA,P002838,Automotive,Care,108.39,3,0.2,14.32,Card,Email,N,2,Completed,260.14
O0000150,2024-01-22 02:28:00,C004899,Seasonal,DE,P001473,Toys,STEM,1053.94,3,0.1,22.34,Card,Direct,N,5,Completed,2845.64
O0000151,2024-09-19 01:36:00,C005285,Price-Sensitive,DE,P000434,Beauty,Fragrance,20.77,1,0.1,26.14,Card,Email,N,5,Completed,18.69
O0000152,2024-11-26 18:44:00,C004100,Frequent,US,P001211,Automotive,Accessories,626.88,5,0,29.1,PayPal,Organic,N,3,Completed,3134.4
O0000153,2023-12-23 15:06:00,C003590,Price-Sensitive,DE,P001230,Beauty,Skincare,71.8,2,0,29.72,Card,Email,N,3,Completed,143.6
O0000154,2024-07-19 05:21:00,C004587,Seasonal,DE,P002580,Sports,Cycling,280.76,2,0.05,13.85,PayPal,Paid Ads,N,6,Completed,533.44
O0000155,2024-12-22 06:13:00,C002281,Price-Sensitive,IN,P002200,Fashion,Men,284.5,1,0.05,3.99,Card,Social,N,5,Completed,270.27
O0000156,2024-09-17 12:37:00,C000936,Frequent,IN,P002760,Automotive,Tools,1060.45,1,0.1,20.66,Card,Organic,N,1,Completed,954.41
O0000157,2024-12-11 04:32:00,C003183,Seasonal,CA,P000761,Toys,Dolls,732.57,1,0.15,32.57,Card,Organic,N,2,Completed,622.68
O0000158,2024-04-06 19:03:00,C002942,At-Risk,DE,P001573,Home & Garden,Furniture,1445.92,1,0.05,14.32,Card,Direct,N,2,Completed,1373.62
O0000159,2023-02-01 07:18:00,C000268,Frequent,FR,P001874,Books,Non-Fiction,850.65,2,0.05,19.24,Card,Organic,N,5,Completed,1616.23
O0000160,2023-02-12 23:28:00,C004476,Frequent,DE,P001220,Fashion,Women,1312.84,1,0,12.2,PayPal,Social,N,3,Completed,1312.84
O0000161,2024-08-25 22:22:00,C005823,Price-Sensitive,DE,P000847,Home & Garden,Furniture,1221.23,3,0.1,12.28,Card,Social,N,4,Completed,3297.32
O0000162,2023-10-01 16:57:00,C005565,New,CA,P001136,Toys,STEM,1301.24,1,0.2,4.64,Card,Organic,N,6,Completed,1040.99
O0000163,2024-08-14 20:17:00,C005144,Seasonal,DE,P001651,Fashion,Men,775.84,1,0,15.91,Card,Email,N,1,Completed,775.84
O0000164,2024-04-14 20:42:00,C005713,Frequent,US,P001760,Toys,Puzzles,1238.15,1,0,28.99,Card,Social,N,7,Completed,1238.15
O0000165,2024-11-29 01:02:00,C000816,Price-Sensitive,IN,P000509,Automotive,Accessories,1394.5,1,0.05,0.02,BNPL,Organic,N,2,Completed,1324.77
O0000166,2023-11-06 05:55:00,C002245,High-Value,UK,P001524,Books,Fiction,998.44,2,0,13.87,Card,Email,N,1,Completed,1996.88
O0000167,2023-01-02 06:30:00,C000639,High-Value,CA,P000034,Automotive,Accessories,1044.92,3,0.2,14.78,Card,Organic,N,1,Completed,2507.81
O0000168,2024-01-12 09:08:00,C003136,Price-Sensitive,IN,P000281,Home & Garden,Furniture,798.11,1,0.15,5.74,Card,Organic,N,6,Completed,678.39
O0000169,2024-03-29 06:05:00,C000824,High-Value,US,P001759,Toys,Action Figures,475.18,1,0,22.56,Card,Email,N,4,Completed,475.18
O0000170,2024-12-08 00:54:00,C005394,New,CA,P001211,Sports,Cycling,971.02,2,0.2,33.41,Card,Organic,N,1,Completed,1553.63
O0000171,2023-01-13 11:59:00,C002593,High-Value,IN,P002238,Toys,Action Figures,1026.0,2,0.2,2.55,Card,Organic,N,0,Cancelled,1641.6
O0000172,2024-02-12 16:18:00,C005150,Price-Sensitive,IN,P002875,Toys,Dolls,606.4,2,0.1,21.56,Card,Organic,N,3,Returned,1091.52
O0000173,2023-06-09 17:20:00,C003201,Price-Sensitive,IN,P002862,Fashion,Kids,659.04,4,0,2.03,Card,Social,N,0,Completed,2636.16
O0000174,2024-11-04 23:11:00,C000979,High-Value,CA,P002034,Electronics,Laptops,1429.76,1,0.2,28.79,Card,Organic,N,4,Completed,1143.81
O0000175,2023-05-01 00:21:00,C003518,Frequent,US,P002033,Books,Fiction,685.52,1,0.05,30.08,Card,Organic,N,1,Completed,651.24
O0000176,2024-06-05 00:02:00,C000101,Frequent,DE,P000615,Beauty,Fragrance,272.55,5,0,19.35,BNPL,Direct,N,5,Completed,1362.75
O0000177,2023-11-24 08:52:00,C000639,Price-Sensitive,US,P000915,Electronics,Laptops,1207.49,5,0.05,2.41,Card,Organic,N,5,Completed,5735.58
